sample_id,stem_id,species,water mas,CPg,wc,NF,NSlf,SL,STm,Pbr,Sbr,P:S,SD.PL,SD.SL,SD.P:S,Pendent 1,Pendent 2,Pendent 3,Pendent 4,Pendent 5,Pendent 6,Pendent 7,Pendent 8,Pendent 9,Pendent 10,Spreading 1,Spreading 2,Spreading 3,Spreading 4,Spreading 5,Spreading 6,Spreading 7,Spreading 8,Spreading 9,Spreading 10,P:S1,P:S2,P:S3,P:S4,P:S5,P:S6,P:S7,P:S8,P:S9,P:S10
s6.03.08.li.2,s6.03.08.li.2.3,S.lindbergii,0.1963,0.0133,14.7594,37,129,1.28,0.0201,0.5207,0.6514,0.803456945,0.079126544,0.060116886,0.128341789,0.606,0.455,0.467,0.655,0.372,0.511,0.535,0.574,0.565,0.467,0.665,0.635,0.595,0.715,0.606,0.63,0.693,0.695,0.535,0.745,0.911278195,0.716535433,0.78487395,0.916083916,0.613861386,0.811111111,0.772005772,0.825899281,1.056074766,0.626845638
s6.03.08.li.2,s6.03.08.li.2.4,S.lindbergii,0.2654,0.0173,15.341,79,220,3.04,0.0456,0.6205,0.7434,0.852318131,0.086723987,0.11303557,0.179164799,0.496,0.501,0.554,0.714,0.655,0.615,0.595,0.616,0.672,0.787,0.735,0.675,0.703,0.685,0.777,0.798,0.815,0.756,0.512,0.978,0.674829932,0.742222222,0.788051209,1.042335766,0.842985843,0.770676692,0.73006135,0.814814815,1.3125,0.804703476
s6.03.08.li.2,s6.03.08.li.2.5,S.lindbergii,0.308,0.0168,18.3333,108,240,2.71,0.0606,0.6515,0.8521,0.795303637,0.090794548,0.176247241,0.177021501,0.596,0.545,0.635,0.745,0.714,0.675,0.714,0.501,0.805,0.585,0.766,0.745,0.775,0.863,1.044,0.905,0.625,1.215,0.958,0.625,0.778067885,0.731543624,0.819354839,0.863267671,0.683908046,0.745856354,1.1424,0.412345679,0.840292276,0.936
s6.03.08.li.3,s6.03.08.li.3.1,S.lindbergii,0.469,0.0296,15.8446,28,99,1.63,0.0254,1.0916,1.0329,1.075105403,0.126986771,0.184790936,0.144134532,0.968,0.965,1.226,0.955,1.28,1.145,1.257,0.965,1.003,1.152,0.947,0.842,1.465,0.863,1.055,0.985,1.195,0.947,1.165,0.865,1.02217529,1.14608076,0.836860068,1.106604867,1.213270142,1.162436548,1.051882845,1.019007392,0.860944206,1.331791908
s6.03.08.li.3,s6.03.08.li.3.2,S.lindbergii,0.3935,0.0212,18.5613,55,205,4.68,0.0418,0.9461,0.9751,0.990990742,0.076427024,0.16256288,0.148983454,1.055,0.915,0.958,0.842,0.992,1.045,0.801,0.925,0.981,0.947,1.152,0.937,0.811,0.991,0.947,1.247,0.832,0.863,0.766,1.205,0.915798611,0.976520811,1.181257707,0.849646821,1.047518479,0.838011227,0.962740385,1.07184241,1.280678851,0.785892116
s6.03.08.li.3,s6.03.08.li.3.3,S.lindbergii,0.1592,0.0086,18.5116,49,159,3.65,0.0291,0.7993,0.9572,0.864118067,0.140682657,0.248385909,0.169205827,0.565,0.863,0.801,0.724,0.905,0.875,0.825,1.085,0.635,0.715,0.905,0.842,0.905,0.815,0.798,1.455,1.034,1.38,0.777,0.661,0.624309392,1.024940618,0.885082873,0.888343558,1.134085213,0.60137457,0.79787234,0.786231884,0.817245817,1.081694402
s6.03.08.li.3,s6.03.08.li.3.4,S.lindbergii,0.2411,0.0146,16.5137,23,84,1.77,0.0136,0.9187,0.961,0.977220919,0.105759208,0.160104966,0.173667166,0.805,0.958,0.965,0.916,0.714,1.045,0.832,1.086,0.96,0.906,0.724,1.107,0.916,0.905,0.853,0.8,0.958,0.925,1.281,1.141,1.111878453,0.865401987,1.05349345,1.012154696,0.837045721,1.30625,0.868475992,1.174054054,0.74941452,0.794040316
s6.03.08.li.3,s6.03.08.li.3.5,S.lindbergii,0.4621,0.0279,16.5627,45,157,3.77,0.0384,1.1018,1.0529,1.100465203,0.159131895,0.331285511,0.187786612,0.947,1.125,1.131,0.96,1.493,1.076,0.958,1.131,1.226,0.971,0.787,1.034,1.745,0.765,1.615,0.821,0.787,1.075,0.985,0.915,1.203303685,1.088007737,0.648137536,1.254901961,0.924458204,1.310596833,1.217280813,1.052093023,1.244670051,1.061202186
s6.03.08.li.4,s6.03.08.li.4.1,S.lindbergii,0.4427,0.0262,16.8969,54,207,4.03,0.0441,0.8506,0.9704,0.888183675,0.108399446,0.145740317,0.125579045,0.855,0.835,0.947,0.835,0.756,0.811,1.085,0.926,0.785,0.671,1.045,0.832,1.002,0.906,1.085,0.715,1.288,0.955,0.96,0.916,0.818181818,1.003605769,0.94510978,0.921633554,0.696774194,1.134265734,0.842391304,0.969633508,0.817708333,0.732532751
s6.03.08.li.4,s6.03.08.li.4.2,S.lindbergii,0.4658,0.0262,17.7786,78,281,6.77,0.0796,0.9182,1.0842,0.858821515,0.144130358,0.216160033,0.108031684,1.002,1.066,0.895,0.842,0.895,0.795,1.095,1.12,0.832,0.64,1.055,1.514,0.864,1.076,0.935,0.992,1.396,1.135,1.11,0.765,0.949763033,0.704095112,1.03587963,0.782527881,0.957219251,0.80141129,0.784383954,0.986784141,0.74954955,0.836601307
